E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,W,W,W,W,W,W,W,W,W,E,E,E,E
E,E,E,E,E,E,E,W,E,E,E,E,E,E,E,E
E,W,W,E,E,E,E,E,E,E,E,E,W,W,E,E
E,W,E,E,E,E,W,E,W,E,E,E,E,W,E,E
E,W,E,E,E,W,E,E,E,W,E,E,E,W,E,E
E,W,E,E,W,E,HM;C1,E,E,E,W,E,E,W,E,E
E,W,E,E,E,E,HM;C1,G,E,E,E,E,E,W,E,P
E,W,E,E,W,E,HM;C1,E,E,E,W,E,E,W,E,E
E,W,E,E,E,W,E,E,E,W,E,E,E,W,E,E
E,W,E,E,E,E,W,E,W,E,E,E,E,W,E,E
E,W,E,E,E,E,E,E,E,E,E,E,E,W,E,E
E,W,W,E,E,E,E,E,E,E,E,E,W,W,E,E
E,E,E,E,E,E,E,W,E,E,E,E,E,E,E,E
E,E,E,W,W,W,W,W,W,W,W,W,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
