E,E,E,E,E,E,W,E,E,E,E,E,E,E,E,E,E,E,W,E,E,E,E,E,E
E,W,W,E,W,E,W,E,E,E,W,W,W,W,W,E,E,E,W,E,W,E,W,W,E
E,W,HM;C1,E,E,E,W,E,E,E,W,E,E,E,W,E,E,E,W,E,E,E,HM;C1,W,E
E,E,E,W,E,E,E,E,W,E,E,E,W,E,E,E,W,E,E,E,E,W,E,E,E
W,E,E,E,E,E,W,E,E,W,W,E,W,E,W,W,E,E,W,E,E,E,E,W,W
E,E,E,E,E,W,W,E,E,E,E,E,W,E,E,E,E,E,W,W,E,E,E,E,E
E,E,W,E,E,E,W,E,E,E,E,E,W,E,E,E,E,E,W,E,E,W,W,E,E
E,E,W,W,E,E,E,W,E,E,W,W,W,W,W,E,E,W,E,E,W,W,E,E,W
E,E,E,E,E,W,E,E,E,E,E,E,W,E,E,E,E,E,E,E,E,E,E,E,E
E,W,W,W,E,W,E,E,E,W,E,E,W,E,E,W,E,E,W,W,W,W,E,E,E
E,W,E,E,E,W,W,E,E,E,W,E,W,E,W,E,E,E,E,W,E,E,E,W,E
E,E,E,E,E,E,E,E,W,E,E,E,E,HM;C1,E,E,W,E,E,E,E,E,E,W,E
E,W,E,W,W,W,W,W,W,W,W,E,G,E,W,W,W,W,W,W,W,W,E,W,E
E,W,E,E,E,E,E,E,W,E,W,E,E,E,E,E,W,E,E,E,E,E,E,W,E
E,W,W,W,E,E,W,E,E,E,W,W,W,E,W,E,E,E,E,E,E,E,E,W,E
E,W,E,E,E,W,W,E,E,W,E,E,W,E,E,W,E,W,W,W,E,E,E,E,E
E,E,E,W,E,E,E,E,E,E,E,E,W,E,E,E,E,E,E,W,E,W,W,E,E
E,E,W,W,E,E,E,W,E,E,E,W,W,W,E,E,E,W,E,E,E,W,E,E,W
E,E,W,E,E,E,W,E,E,W,E,E,E,E,E,W,E,E,W,E,E,E,E,E,E
W,E,E,E,E,W,E,E,E,W,E,E,W,E,E,W,E,E,E,W,E,E,E,W,W
E,E,E,E,E,E,E,W,W,W,E,E,W,E,E,W,W,W,E,E,E,E,E,E,E
E,E,E,W,E,E,E,E,E,E,E,E,W,E,E,E,E,E,E,E,E,W,E,E,E
E,W,E,E,E,E,W,W,E,E,W,E,E,E,W,E,E,W,W,E,E,E,HM;C1,W,E
E,W,W,E,W,E,E,W,E,E,W,W,E,W,W,E,E,W,E,E,W,E,W,W,E
E,E,E,E,W,E,E,W,E,E,E,E,E,E,E,E,E,W,E,E,W,E,E,E,E
E,W,E,E,W,W,E,E,E,E,E,E,W,E,E,E,E,E,E,W,W,E,W,E,W
P,E,E,E,E,E,E,E,E,E,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E
